id,date,price,bedrooms,bathrooms,sqft_living,floors
6414100192,"December 09, 2014",538000.0,3,2.25,2570,2.0
2487200875,"December 09, 2014",604000.0,4,3.0,1960,1.0
1954400510,"February 18, 2015",510000.0,3,2.0,1680,1.0
1736800520,"April 03, 2015",662500.0,3,2.5,3560,1.0
1175000570,"March 12, 2015",530000.0,5,2.0,1810,1.5
9297300055,"January 24, 2015",650000.0,4,3.0,2950,2.0
1794500383,"June 26, 2014",937000.0,3,1.75,2450,2.0
3303700376,"December 01, 2014",667000.0,3,1.0,1400,1.5
1873100390,"March 02, 2015",719000.0,4,2.5,2570,2.0
8562750320,"November 10, 2014",580500.0,3,2.5,2320,2.0
461000390,"June 24, 2014",687500.0,4,1.75,2330,1.5
7589200193,"November 10, 2014",535000.0,3,1.0,1090,1.5
9547205180,"June 13, 2014",696000.0,3,2.5,2300,1.5
9435300030,"May 28, 2014",550000.0,4,1.0,1660,1.0
2768000400,"December 30, 2014",640000.0,4,2.0,2360,2.0
2078500320,"June 20, 2014",605000.0,4,2.5,2620,2.0
5547700270,"July 15, 2014",625000.0,4,2.5,2570,2.0
7766200013,"August 11, 2014",775000.0,4,2.25,4220,1.0
7203220400,"July 07, 2014",861990.0,5,2.75,3595,2.0
9270200160,"October 28, 2014",685000.0,3,1.0,1570,2.0
4178300310,"July 16, 2014",785000.0,4,2.5,2290,2.0
7518505990,"December 31, 2014",600000.0,3,1.75,1410,1.0
3626039271,"February 05, 2015",585000.0,2,1.75,1980,1.0
4217401195,"March 03, 2015",920000.0,5,2.25,2730,1.5
9822700295,"May 12, 2014",885000.0,4,2.5,2830,2.0
7922800400,"August 27, 2014",951000.0,5,3.25,3250,2.0
1516000055,"December 10, 2014",650000.0,3,2.25,2150,1.0
5072410070,"October 21, 2014",505000.0,3,1.75,2519,2.0
9528102996,"December 07, 2014",549000.0,3,1.75,1540,3.0
3394100030,"September 09, 2014",975000.0,4,2.5,2720,2.0
8820901275,"June 10, 2014",571000.0,4,2.0,2750,1.5
3276920270,"November 05, 2014",832500.0,4,4.0,3430,2.0
1531000030,"March 23, 2015",720000.0,4,2.5,3450,2.0
4232902595,"November 14, 2014",940000.0,3,1.5,2140,2.0
6021501535,"December 23, 2014",700000.0,3,1.5,1580,1.0
1483300570,"September 08, 2014",905000.0,4,2.5,3300,1.0
1952200240,"June 11, 2014",850830.0,3,2.5,2070,1.5
5200100125,"October 27, 2014",555000.0,3,2.0,1980,1.5
7214720075,"December 12, 2014",699950.0,3,2.25,2190,2.0
1853000400,"March 05, 2015",680000.0,4,2.5,3140,2.0
9545230140,"July 25, 2014",597750.0,4,2.5,2310,2.0
